doc_id,사업명_태그,budget_unknown,사업_금액_정제,사업_금액_출처,사업_금액_후보텍스트,입찰참여시작일_추정,입찰 참여 시작일_dt,입찰참여마감일_결측,입찰참여마감일_출처,입찰참여마감일_후보텍스트,공고번호_결측,예산_처리상태
한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.hwp,,False,130000000.0,csv,,True,2024-10-04 13:51:23,False,csv,,False,
고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,,False,11270000000.0,csv,,False,2024-07-05 11:00:00,False,csv,,True,
서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,사전공개,True,,no_info,,True,2023-06-20 00:00:00,True,no_info,,True,복구 불가(본문에도 정보 없음)
경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,입찰공고,False,400000000.0,manual_confirmed,"사업예산 : 금400,000,000원원(부가세포함)    - 1차년도 : 금200,000,000원 이내    - 2차년도 : 금200,000,000원 이내  4. 계약방법 : 협상에 의한",True,2024-05-02 00:00:00,False,manual_confirmed,,True,
한국수자원공사_건설통합시스템(CMS) 고도화.hwp,,False,780230000.0,csv,,True,2024-05-31 00:00:00,True,no_info,,True,
한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,,False,470251968.0,manual_confirmed,,False,2024-06-07 00:00:00,False,csv,,True,
2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,,False,260000000.0,csv,,True,2024-09-10 16:31:49,False,csv,,False,
한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실.hwp,,False,87000000.0,csv,,False,2024-06-07 22:00:00,False,csv,,True,
수협중앙회_강릉어선안전조업국 상황관제시스템 구축.hwp,,False,210000000.0,csv,,True,2025-02-11 10:27:38,False,csv,,False,
한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp,,False,2392940000.0,csv,,True,2024-05-13 00:00:00,True,no_info,,True,
KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,"긴급,지문,국제",False,6758571493.0,csv,,True,2024-10-24 00:00:00,False,manual_confirmed,,True,
한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,,False,195030000.0,csv,,False,2024-05-24 09:00:00,False,csv,,True,
인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에 .hwp,,False,200000000.0,csv,,True,2025-01-24 19:56:15,False,csv,,False,
한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).hwp,,False,843000000.0,manual_confirmed,"사업예산 : 개발비 359백만원, H/W 484백만원(VAT 포함) * 예산항목 : 2000488-12030401 (본사(IT)자본FC-개발비),   2000488-12029001 (본사",False,2024-10-18 00:00:00,False,csv,,True,
광주과학기술원_학사시스템 기능개선 사업.hwp,,False,157300000.0,csv,,True,2024-12-09 08:52:59,False,csv,,False,
을지대학교_을지대학교 비교과시스템 개발.hwp,,True,,undisclosed,,True,2024-11-27 10:51:02,False,csv,,False,해결됨(비공개 확인)
대전대학교_대전대학교 2024학년도 다층적 융합 학습경험 플랫폼(MILE) 전.hwp,,False,60000000.0,csv,,True,2024-11-27 11:36:47,False,csv,,False,
한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,재공고,False,14107009000.0,csv,,True,2024-08-08 00:00:00,False,csv,,True,
국민연금공단_2024년 이러닝시스템 운영 용역.hwp,,False,773801000.0,csv,,False,2024-02-21 10:00:00,False,csv,,True,
국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,,False,415977877.0,csv,,False,2024-06-28 10:00:00,False,csv,,True,
수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,,False,300000000.0,csv,,True,2024-06-05 10:02:59,False,csv,,False,
대한상공회의소_기업 재생에너지 지원센터 홈페이지 개편 및 시스템 고.hwp,,False,57000000.0,manual_confirmed,,True,2024-06-05 11:12:09,False,csv,,False,
케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp,,False,341000000.0,csv,,True,2024-12-10 17:16:26,False,csv,,False,
국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,,False,689480000.0,csv,,True,2024-08-13 00:00:00,True,no_info,,True,
한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,"재공고,긴급,협상형",False,487150000.0,manual_confirmed,,False,2024-08-21 00:00:00,False,csv,,True,
광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,,False,54450000.0,csv,,True,2024-10-28 10:07:48,False,csv,,False,
경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,,False,49500000.0,csv,,True,2024-06-24 19:50:43,False,csv,,False,
남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,혁신-국고,False,70000000.0,csv,,True,2024-10-16 09:43:43,False,csv,,False,
사단법인 보험개발원_실손보험 청구 전산화 시스템 구축 사업.hwp,,True,,undisclosed,,True,2024-03-19 13:47:26,False,csv,,False,해결됨(비공개 확인)
(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,,False,352000000.0,csv,,True,2024-03-19 10:49:46,False,csv,,False,
세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp,긴급,False,90000000.0,csv,,True,2021-10-08 00:00:00,True,no_info,,True,
조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구.hwp,,False,100000000.0,csv,,True,2024-11-04 17:48:35,False,csv,,False,
재단법인 광주광역시 광주문화재단_2024년 광주문화예술통합플랫폼 시스.hwp,,False,61890000.0,csv,,True,2024-04-12 10:16:47,False,csv,,False,
