doc_id,n_tables,status,gantt_tables,placeholder_count,top_level_table_count
한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.hwp,110,inline 성공,0,,
경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,108,inline 성공,1,,
한국전기안전공사_전기안전 관제시스템 보안 모듈 개발 용역.hwp,73,inline 성공,1,,
재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구.hwp,94,inline 성공,0,,
고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,420,폴백(개수 불일치),1,0,420
서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,187,폴백(개수 불일치),0,0,187
경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,52,inline 성공,0,,
2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,87,inline 성공,1,,
전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축.hwp,100,inline 성공,1,,
한국사회보장정보원_라오스 보건의료정보화 협력을 위한 사전타당성 조.hwp,64,inline 성공,1,,
수협중앙회_강릉어선안전조업국 상황관제시스템 구축.hwp,100,inline 성공,0,,
한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp,12,inline 성공,0,,
한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아.hwp,169,inline 성공,0,,
한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,79,inline 성공,0,,
국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,109,inline 성공,1,,
"대한장애인체육회_2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 .hwp",110,inline 성공,0,,
광주과학기술원_학사시스템 기능개선 사업.hwp,84,inline 성공,1,,
서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf,169,폴백(개수 불일치),0,0,169
을지대학교_을지대학교 비교과시스템 개발.hwp,104,inline 성공,0,,
기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf,67,폴백(개수 불일치),0,0,67
대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,88,inline 성공,1,,
한국생산기술연구원_2세대 전자조달시스템  기반구축사업.hwp,112,inline 성공,0,,
(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,104,inline 성공,0,,
인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,143,inline 성공,0,,
한국산업인력공단_RFID기반 국가자격 시험 결과물 스마트 관리시스템 도.hwp,90,inline 성공,0,,
한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,83,inline 성공,0,,
재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음.hwp,95,inline 성공,0,,
조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구.hwp,76,inline 성공,1,,
대한적십자사 의료원_적십자병원 병원정보 재해복구시스템 구축 용역 .hwp,78,inline 성공,1,,
(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,87,inline 성공,0,,
